"Scenario","true_beta_0","true_beta_1","est_beta_0","est_beta_1","true_alpha_0","true_alpha_1","est_alpha_0","est_alpha_1","mean_true_psi","realized_occupancy","auroc"
"Generalist_5x5",-3.72,1,-0.425731719917262,-0.485383135572191,1,-1.5,-0.406531874760307,-0.475588174526165,0.616833890880287,0.61,0.459705502819466
"Specialist_5x5",-5.72,5,-4.74586070993409,3.00981153192474,1,-1.5,0.96737622878159,-1.45270735843109,0.594047181511708,0.6,0.394508565621371
